codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
49,45588,ECGLE,,AVIÃO,AIRBUS INDUSTRIE,A340,,JATO,BIMOTOR,237000,237000,0.0,,AVIÃO,,ADOLFO SUÁREZ MADRID–BARAJAS AIRPORT,ANTONIO CARLOS JOBIM / GALEÃO,DESCIDA,REGULAR,NENHUM,0
50,45589,PPSAM,,AVIÃO,PILATUS,PC-12/47,PC12,TURBOÉLICE,MONOMOTOR,4760,4760,8.0,2007.0,AVIÃO,PARTICULAR,GOVERNADOR LUCAS NOGUEIRA GARCEZ (SBLN*),AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
51,45594,PTGQD,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
52,45596,PTNKS,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,1202,1202,4.0,1977.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,DESTRUÍDA,3
53,45597,PTKPG,,AVIÃO,BEECH AIRCRAFT,A56TC,BE56,PISTÃO,BIMOTOR,2717,2717,6.0,1970.0,AVIÃO,ADMINISTRAÇÃO DIRETA,CAMPO GRANDE,TERUEL IPANEMA ESTÂNCIA,POUSO,POLICIAL,SUBSTANCIAL,0
54,45598,PPGXN,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PAUL,PISTÃO,MONOMOTOR,660,660,2.0,1961.0,AVIÃO,INSTRUÇÃO,ESTADUAL ARTHUR SIQUEIRA,ESTADUAL ARTHUR SIQUEIRA,DECOLAGEM,INSTRUÇÃO,LEVE,0
55,45599,PTCJX,,AVIÃO,PIPER AIRCRAFT,PA-23-250,PA27,PISTÃO,BIMOTOR,2358,2358,6.0,1966.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
56,45600,PTGGG,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1976.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
57,45601,PRGTI,REGULAR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,194.0,2006.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,REGULAR,NENHUM,0
58,45604,PRWJC,REGULAR,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61234,61234,156.0,1991.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,REGULAR,NENHUM,0
